,Wilayah,Jumlah,Meninggal,Hilang,Terluka,Menderita,Mengungsi,Rumah,Pendidikan,Kesehatan,Peribadatan,Fasum,Perkantoran,Jembatan,Pabrik,Kios,Jenis Bencana,Tahun,id
0,Aceh,56,0,1,0,119127,11232,49,1,0,0,0,0,4,0,10,Banjir,2021,-6237556000563254875
1,Sumatera Utara,65,1,0,11,102779,1015,10131,11,2,2,9,3,6,1,0,Banjir,2021,-2372292628162733303
2,Sumatera Barat,17,0,0,0,23830,0,10,0,0,0,0,0,3,0,7,Banjir,2021,1521974385735281901
3,Riau,14,0,0,0,11070,600,0,0,0,0,0,0,0,0,0,Banjir,2021,-1042557148862628513
4,Jambi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2021,2687032335209755017
5,Sumatera Selatan,21,2,0,0,5515,105,26,0,0,0,0,0,0,0,0,Banjir,2021,7425267444072935104
6,Bengkulu,9,0,0,0,2978,0,0,0,0,0,0,0,1,0,0,Banjir,2021,-5843103977381539671
7,Lampung,20,0,0,0,5437,0,1092,0,0,0,0,0,2,0,0,Banjir,2021,-8668247489557117303
8,Bangka Belitung,75,0,0,0,2571,1929,1763,0,0,0,0,0,2,0,0,Banjir,2021,-5563114520753546341
9,Kepulauan Riau,5,0,0,0,5707,1540,0,0,0,0,0,0,0,0,0,Banjir,2021,-7906056508731594908
10,DKI Jakarta,16,4,1,0,30849,7190,0,0,0,0,0,0,0,0,0,Banjir,2021,-4994834632762090422
11,Jawa Barat,120,11,0,275,989548,97978,438,27,5,37,0,7,3,1,0,Banjir,2021,-5413691724888299658
12,Jawa Tengah,276,91,0,2,1021287,11711,1902,6,0,14,6,4,158,0,2,Banjir,2021,3833264334277822632
13,DI Yogyakarta,1,0,0,0,335,0,0,0,0,0,0,0,1,0,0,Banjir,2021,-6844054014470264182
14,Jawa Timur,125,2,2,0,282542,3552,131,0,0,0,0,0,3,0,0,Banjir,2021,5603769935843162758
15,Banten,28,1,0,12,60089,7175,0,0,0,0,0,0,0,0,0,Banjir,2021,7372490229367205588
16,Bali,5,0,0,0,15,0,7,0,0,0,0,0,0,0,0,Banjir,2021,6983383299323199236
17,Nusa Tenggara Barat,46,7,1,0,109430,2410,5784,49,29,26,0,30,22,0,0,Banjir,2021,3315933558565092472
18,Nusa Tenggara Timur,33,239,48,218,558482,61092,53845,229,98,239,14,92,133,0,15,Banjir,2021,-8899711672901941445
19,Kalimantan Barat,55,0,0,0,97850,11879,18,1,1,0,0,1,11,0,0,Banjir,2021,-953971030776510043
20,Kalimantan Tengah,20,0,0,0,47043,0,5,1,0,1,0,1,0,0,0,Banjir,2021,-5370942088638773437
21,Kalimantan Selatan,25,28,0,871,648134,177795,21271,586,127,497,0,197,38,0,0,Banjir,2021,5723482698818612976
22,Kalimantan Timur,8,0,0,0,17654,65,0,0,0,0,0,0,0,0,0,Banjir,2021,-4597026628018503912
23,Kalimantan Utara,8,0,0,0,27817,0,3,0,0,0,0,0,0,0,0,Banjir,2021,2558179557195584404
24,Sulawesi Utara,15,6,0,0,3506,663,3,0,0,0,0,0,0,0,0,Banjir,2021,5747332232387988364
25,Sulawesi Tengah,60,0,0,0,2206,958,448,0,0,2,0,0,9,0,0,Banjir,2021,-6930210915354879098
26,Sulawesi Selatan,15,0,0,0,28653,7,54,0,0,0,0,0,3,0,0,Banjir,2021,7956381525455331753
27,Sulawesi Tenggara,10,0,0,0,1805,15,36,1,0,0,0,0,4,0,0,Banjir,2021,-51741841757759184
28,Gorontalo,6,0,0,0,5960,185,10,0,0,0,0,0,3,0,0,Banjir,2021,-2162870991724594848
29,Sulawesi Barat,3,0,0,0,0,358,40,0,0,0,20,0,2,0,0,Banjir,2021,-6430433229783455841
30,Maluku,5,0,0,0,14481,0,0,0,0,0,0,0,0,0,0,Banjir,2021,3804010505728999256
31,Maluku Utara,7,0,0,0,5992,1801,27,0,0,0,0,0,1,0,0,Banjir,2021,-8151916863436419819
32,Papua,9,0,0,35,41705,5437,1664,1,0,0,0,0,16,0,0,Banjir,2021,-6125086008689076578
